"OBÈINE","2002 Napeljave in pomožni prostori -SKUPAJ","2002 Vodovod","2002 Kanalizacija","2002 Elektrièni tok","2002 Centralno ogrevanje","2002 Kopalnica","2002 Stranišèe","2002 Kuhinja","2003 Napeljave in pomožni prostori -SKUPAJ","2003 Vodovod","2003 Kanalizacija","2003 Elektrièni tok","2003 Centralno ogrevanje","2003 Kopalnica","2003 Stranišèe","2003 Kuhinja","2004 Napeljave in pomožni prostori -SKUPAJ","2004 Vodovod","2004 Kanalizacija","2004 Elektrièni tok","2004 Centralno ogrevanje","2004 Kopalnica","2004 Stranišèe","2004 Kuhinja","2005 Napeljave in pomožni prostori -SKUPAJ","2005 Vodovod","2005 Kanalizacija","2005 Elektrièni tok","2005 Centralno ogrevanje","2005 Kopalnica","2005 Stranišèe","2005 Kuhinja","2006 Napeljave in pomožni prostori -SKUPAJ","2006 Vodovod","2006 Kanalizacija","2006 Elektrièni tok","2006 Centralno ogrevanje","2006 Kopalnica","2006 Stranišèe","2006 Kuhinja","2007 Napeljave in pomožni prostori -SKUPAJ","2007 Vodovod","2007 Kanalizacija","2007 Elektrièni tok","2007 Centralno ogrevanje","2007 Kopalnica","2007 Stranišèe","2007 Kuhinja","2008 Napeljave in pomožni prostori -SKUPAJ","2008 Vodovod","2008 Kanalizacija","2008 Elektrièni tok","2008 Centralno ogrevanje","2008 Kopalnica","2008 Stranišèe","2008 Kuhinja","2009 Napeljave in pomožni prostori -SKUPAJ","2009 Vodovod","2009 Kanalizacija","2009 Elektrièni tok","2009 Centralno ogrevanje","2009 Kopalnica","2009 Stranišèe","2009 Kuhinja","2010 Napeljave in pomožni prostori -SKUPAJ","2010 Vodovod","2010 Kanalizacija","2010 Elektrièni tok","2010 Centralno ogrevanje","2010 Kopalnica","2010 Stranišèe","2010 Kuhinja"
"SLOVENIJA",784912,773366,774387,777925,618084,723388,729055,768480,791268,779727,780748,784281,624324,729820,735452,774855,797981,786460,787488,791002,631001,736676,742275,781587,805203,793706,794753,798239,638223,744010,749590,788823,812370,800909,801992,805431,644620,751328,756873,796024,820400,808961,810083,813471,652749,759515,765019,804083,830047,818647,819798,823152,662407,769302,774796,814054,838252,826908,828078,831427,670744,777661,783101,822032,844349,833026,834196,837544,677004,783846,789268,828155
"Ajdovšèina",6551,6493,6501,6511,4406,6060,6110,6496,6648,6590,6598,6608,4505,6160,6210,6593,6708,6650,6658,6668,4563,6224,6275,6654,6741,6684,6693,6701,4599,6259,6310,6687,6781,6725,6735,6741,4629,6303,6352,6727,6845,6789,6799,6805,4702,6369,6416,6791,6993,6937,6947,6953,4854,6519,6565,6944,7126,7070,7080,7086,4983,6652,6698,7072,7177,7121,7131,7137,5033,6703,6749,7123
"Apaèe",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1425,1354,1359,1413,986,1202,1193,1405,1429,1358,1363,1417,989,1206,1197,1409,1433,1362,1368,1421,994,1211,1202,1413,1444,1373,1379,1432,1005,1222,1213,1424
"Beltinci",2722,2673,2676,2700,2139,2481,2416,2690,2748,2699,2702,2726,2162,2507,2442,2716,2773,2724,2727,2751,2187,2532,2467,2741,2805,2756,2759,2783,2219,2564,2499,2773,2826,2777,2780,2804,2234,2585,2520,2794,2850,2801,2804,2828,2257,2609,2544,2818,2887,2838,2841,2865,2293,2646,2581,2855,2900,2851,2854,2878,2306,2659,2594,2867,2915,2866,2869,2893,2321,2674,2609,2882
"Benedikt",728,708,710,716,506,604,604,717,775,755,757,763,552,651,651,764,804,785,787,792,582,681,681,793,822,803,805,810,600,699,699,811,833,814,816,821,611,710,710,822,847,828,830,835,625,724,724,836,889,870,873,877,668,767,767,879,949,930,933,937,728,828,827,936,960,941,944,948,739,839,838,947
"Bistrica ob Sotli",617,597,599,608,378,505,514,608,626,606,608,617,387,514,523,617,631,611,613,622,393,520,530,622,634,614,616,625,397,524,534,625,637,618,621,628,400,529,539,628,641,622,625,632,403,533,543,632,653,634,638,644,416,546,556,645,660,641,645,651,423,553,563,652,661,642,646,652,425,554,564,653
"Bled",4738,4692,4694,4650,3616,4435,4528,4645,4762,4716,4718,4674,3640,4459,4552,4669,4792,4746,4748,4704,3674,4491,4584,4699,4839,4793,4795,4751,3723,4539,4633,4747,4864,4818,4820,4776,3743,4564,4658,4772,3720,3687,3690,3665,2925,3512,3581,3649,3764,3731,3734,3709,2969,3556,3625,3694,3782,3749,3752,3727,2988,3574,3643,3712,3806,3773,3776,3751,3012,3598,3667,3736
"Bloke",758,741,743,740,435,651,647,743,760,743,745,742,437,653,649,745,765,748,750,747,442,658,654,750,766,749,751,748,443,659,655,751,776,759,761,758,453,669,665,761,782,765,767,764,459,675,671,767,785,768,770,767,462,678,674,770,797,780,782,779,474,690,686,782,803,786,788,785,481,696,692,788
"Bohinj",2944,2894,2896,2866,1769,2719,2731,2881,2963,2913,2915,2885,1788,2738,2750,2900,2982,2932,2934,2904,1808,2757,2769,2920,2996,2946,2948,2918,1821,2771,2783,2934,3050,3007,3009,2979,1881,2832,2844,2995,3117,3074,3076,3046,1947,2899,2911,3062,3119,3076,3079,3048,1951,2902,2914,3067,3126,3083,3086,3055,1958,2909,2921,3074,3154,3111,3114,3083,1986,2937,2949,3102
"Borovnica",1343,1328,1329,1331,1128,1268,1266,1333,1356,1341,1342,1344,1141,1281,1279,1346,1366,1351,1352,1354,1151,1291,1289,1356,1379,1364,1365,1367,1165,1304,1303,1370,1391,1376,1377,1379,1175,1316,1315,1382,1392,1377,1379,1380,1177,1318,1317,1383,1426,1411,1413,1414,1210,1352,1351,1417,1433,1418,1420,1421,1216,1359,1358,1423,1638,1624,1626,1627,1422,1565,1564,1629
