Število naseljenih stanovanj po številu sob in številu oseb, obèine, Slovenija, veèletno;;;
;;;
OBÈINE;ŠTEVILO SOB;ŠTEVILO OSEB;2015
SLOVENIJA;Število sob - SKUPAJ;Število oseb -SKUPAJ;674463
SLOVENIJA;Število sob - SKUPAJ;1 oseba;162216
SLOVENIJA;Število sob - SKUPAJ;2 osebi;156314
SLOVENIJA;Število sob - SKUPAJ;3 osebe;128482
SLOVENIJA;Število sob - SKUPAJ;4 osebe;111151
SLOVENIJA;Število sob - SKUPAJ;5 oseb;57059
SLOVENIJA;Število sob - SKUPAJ;6 oseb;33237
SLOVENIJA;Število sob - SKUPAJ;7 oseb ali veè;26004
SLOVENIJA;1 soba;Število oseb -SKUPAJ;72858
SLOVENIJA;1 soba;1 oseba;38423
SLOVENIJA;1 soba;2 osebi;17329
SLOVENIJA;1 soba;3 osebe;8873
SLOVENIJA;1 soba;4 osebe;5023
SLOVENIJA;1 soba;5 oseb;1804
SLOVENIJA;1 soba;6 oseb;772
SLOVENIJA;1 soba;7 oseb ali veè;634
SLOVENIJA;2 sobi;Število oseb -SKUPAJ;164464
SLOVENIJA;2 sobi;1 oseba;54661
SLOVENIJA;2 sobi;2 osebi;45826
SLOVENIJA;2 sobi;3 osebe;30197
SLOVENIJA;2 sobi;4 osebe;20579
SLOVENIJA;2 sobi;5 oseb;7431
SLOVENIJA;2 sobi;6 oseb;3251
SLOVENIJA;2 sobi;7 oseb ali veè;2519
SLOVENIJA;3 sobe;Število oseb -SKUPAJ;181074
SLOVENIJA;3 sobe;1 oseba;39636
SLOVENIJA;3 sobe;2 osebi;47118
SLOVENIJA;3 sobe;3 osebe;39226
SLOVENIJA;3 sobe;4 osebe;30971
SLOVENIJA;3 sobe;5 oseb;13030
SLOVENIJA;3 sobe;6 oseb;6462
SLOVENIJA;3 sobe;7 oseb ali veè;4631
SLOVENIJA;4 sobe;Število oseb -SKUPAJ;119925
SLOVENIJA;4 sobe;1 oseba;17237
SLOVENIJA;4 sobe;2 osebi;25698
SLOVENIJA;4 sobe;3 osebe;25896
SLOVENIJA;4 sobe;4 osebe;26143
SLOVENIJA;4 sobe;5 oseb;12812
SLOVENIJA;4 sobe;6 oseb;7007
SLOVENIJA;4 sobe;7 oseb ali veè;5132
SLOVENIJA;5 sob ali veè;Število oseb -SKUPAJ;136142
SLOVENIJA;5 sob ali veè;1 oseba;12259
SLOVENIJA;5 sob ali veè;2 osebi;20343
SLOVENIJA;5 sob ali veè;3 osebe;24290
SLOVENIJA;5 sob ali veè;4 osebe;28435
SLOVENIJA;5 sob ali veè;5 oseb;21982
SLOVENIJA;5 sob ali veè;6 oseb;15745
SLOVENIJA;5 sob ali veè;7 oseb ali veè;13088
Ajdovšèina;Število sob - SKUPAJ;Število oseb -SKUPAJ;5818
Ajdovšèina;Število sob - SKUPAJ;1 oseba;1148
Ajdovšèina;Število sob - SKUPAJ;2 osebi;1203
Ajdovšèina;Število sob - SKUPAJ;3 osebe;1120
Ajdovšèina;Število sob - SKUPAJ;4 osebe;1071
Ajdovšèina;Število sob - SKUPAJ;5 oseb;607
Ajdovšèina;Število sob - SKUPAJ;6 oseb;397
Ajdovšèina;Število sob - SKUPAJ;7 oseb ali veè;272
Ajdovšèina;1 soba;Število oseb -SKUPAJ;400
Ajdovšèina;1 soba;1 oseba;196
Ajdovšèina;1 soba;2 osebi;97
Ajdovšèina;1 soba;3 osebe;52
Ajdovšèina;1 soba;4 osebe;36
Ajdovšèina;1 soba;5 oseb;14
Ajdovšèina;1 soba;6 oseb;3
Ajdovšèina;1 soba;7 oseb ali veè;2
Ajdovšèina;2 sobi;Število oseb -SKUPAJ;903
Ajdovšèina;2 sobi;1 oseba;286
Ajdovšèina;2 sobi;2 osebi;219
Ajdovšèina;2 sobi;3 osebe;164
Ajdovšèina;2 sobi;4 osebe;157
Ajdovšèina;2 sobi;5 oseb;42
Ajdovšèina;2 sobi;6 oseb;20
Ajdovšèina;2 sobi;7 oseb ali veè;15
Ajdovšèina;3 sobe;Število oseb -SKUPAJ;1595
Ajdovšèina;3 sobe;1 oseba;353
Ajdovšèina;3 sobe;2 osebi;378
Ajdovšèina;3 sobe;3 osebe;333
Ajdovšèina;3 sobe;4 osebe;297
Ajdovšèina;3 sobe;5 oseb;121
Ajdovšèina;3 sobe;6 oseb;70
Ajdovšèina;3 sobe;7 oseb ali veè;43
Ajdovšèina;4 sobe;Število oseb -SKUPAJ;1652
Ajdovšèina;4 sobe;1 oseba;207
Ajdovšèina;4 sobe;2 osebi;337
Ajdovšèina;4 sobe;3 osebe;340
Ajdovšèina;4 sobe;4 osebe;352
Ajdovšèina;4 sobe;5 oseb;216
Ajdovšèina;4 sobe;6 oseb;117
Ajdovšèina;4 sobe;7 oseb ali veè;83
Ajdovšèina;5 sob ali veè;Število oseb -SKUPAJ;1268
Ajdovšèina;5 sob ali veè;1 oseba;106
Ajdovšèina;5 sob ali veè;2 osebi;172
Ajdovšèina;5 sob ali veè;3 osebe;231
Ajdovšèina;5 sob ali veè;4 osebe;229
Ajdovšèina;5 sob ali veè;5 oseb;214
Ajdovšèina;5 sob ali veè;6 oseb;187
Ajdovšèina;5 sob ali veè;7 oseb ali veè;129
Ankaran/Ancarano;Število sob - SKUPAJ;Število oseb -SKUPAJ;1206
